"","DSFSI","DBNP","CPI","INT"
"86",0.6,0.53326949708101,0.446204133601893,-0.766098498904701
"87",6.41,1.21151444258488,0.464130752266835,-0.570568167761966
"88",-5.21,0.68043238535058,0.596260386668293,-0.73
"89",-2.78,-0.70512235921997,0.196022208836152,-0.713333333333334
"90",0.15,-0.18686653840679,0.397714761951198,-0.599823581115428
"91",1.03,-0.20825366382911,0.665494966426099,-0.753509752217905
"92",-0.92,-1.70637438964788,0.784856504634124,-0.693333333333333
"93",0,1.24660636757185,0.227093049313405,-0.696666666666667
"94",1.63,0.28854412476226,0.156868018538932,-0.482765165571367
"95",-1.12,-0.60067000301794,0.833775441177005,-0.330568167761966
"96",0.16,0.8608058254053,0.302132287284293,-0.413333333333333
"97",-0.83,-1.22920970523,0.189974992411305,-0.456666666666667
"98",1.17,-1.3570732515792,-0.0461550561134696,-0.188869631938673
