SFSI	BNP	CPI	DINT	date	year	quater
30.82	0.403479446125223	0.532650297461185	0.12835923502736	2012	2012	1
40.96	0.204355170387776	0.0713286539061966	-0.20338513672138	2012.25	2012	2
32.99	-1.22314184368247	-0.1133200852581	-0.25164076497264	2012.5	2012	3
15.97	-0.534002444830471	0.0518556061660119	-0.0800000000000001	2012.75	2012	4
26.4	0.673187878031826	-0.090823305939976	0.0235097522179	2013	2013	1
7.25	0.448371332819068	-0.151809241005497	-0.180352837769142	2013.25	2013	2
4.22	1.02961342487491	0.266578430546997	0.056843085551238	2013.5	2013	3
3.52	2.47347994825355	-0.166541335491853	-0.0299999999999989	2013.75	2013	4
5.07	1.8928953782374	-0.268300170427593	-0.226098498904701	2014	2014	1
3.27	2.82497263772346	0.201794740688145	0.055530331142735	2014.25	2014	2
2.06	3.10275639163277	-0.16409587033797	-0.492765165571368	2014.5	2014	3
0.94	3.1844922486492	-0.219606026775026	-0.14	2014.75	2014	4
1.29	3.7645533398909	-0.0164352103793927	-0.0570524480814566	2015	2015	1
1.46	3.95405957034629	-0.00389160114307596	-0.342561770503753	2015.25	2015	2
5.42	4.63889610475382	-0.0844796640228139	-0.157052448081457	2015.5	2015	3
4.12	4.62997352927554	0.231025397236519	0.08	2015.75	2015	4
10.3	3.06420463995574	0.810302861402041	-0.053156914448762	2016	2016	1
6.64	2.14062033363198	0.168490743723109	-0.230352837769143	2016.25	2016	2
4.52	1.0398091383032	0.143109775007576	-0.043156914448762	2016.5	2016	3
2.74	1.19881763655937	0.539753222342785	-0.056666666666667	2016.75	2016	4
3.34	1.73208713364038	0.446204133601893	0.0105681677619659	2017	2017	1
9.75	2.94360157622526	0.464130752266835	0.195530331142735	2017.25	2017	2
4.54	3.62403396157584	0.596260386668293	-0.159431832238034	2017.5	2017	3
1.76	2.91891160235587	0.196022208836152	0.0166666666666659	2017.75	2017	4
1.91	2.73204506394908	0.397714761951198	0.113509752217906	2018	2018	1
2.94	2.52379140011997	0.665494966426099	-0.153686171102477	2018.25	2018	2
2.02	0.817417010472088	0.784856504634124	0.0601764188845719	2018.5	2018	3
2.02	2.06402337804394	0.227093049313405	-0.00333333333333397	2018.75	2018	4
3.65	2.3525675028062	0.156868018538932	0.2139015010953	2019	2019	1
2.53	1.75189749978826	0.833775441177005	0.152196997809401	2019.25	2019	2
2.69	2.61270332519356	0.302132287284293	-0.082765165571367	2019.5	2019	3
1.86	1.38349361996356	0.189974992411305	-0.043333333333334	2019.75	2019	4
3.03	0.0264203683843622	-0.0461550561134696	0.267797034727994	2020	2020	1
2.97	-8.28942066392533	-0.0100123755904316	0.091072597210679	2020.25	2020	2
7.5	-2.0833576126268	0.476929042421131	-0.012202965272006	2020.5	2020	3
17.03	-2.01297654549851	0.191156922163668	-0.033333333333333	2020.75	2020	4
5.29	0.00695500502479922	0.61208750032601	0.038921435326716	2021	2021	1
2.54	9.59128712535359	0.276639911818595	-0.091176203986766	2021.25	2021	2
4.43	4.54784216331163	0.952275351164572	0.03225476866005	2021.5	2021	3
